Fr[0][0] = 0.007813 ,Fi[0][0] = 0.007813
Fr[0][1] = 0.011719 ,Fi[0][1] = 0.011719
Fr[0][2] = 0.015625 ,Fi[0][2] = 0.015625
Fr[0][3] = 0.019531 ,Fi[0][3] = 0.019531
Fr[0][4] = 0.023438 ,Fi[0][4] = 0.023438
Fr[0][5] = 0.027344 ,Fi[0][5] = 0.027344
Fr[0][6] = 0.031250 ,Fi[0][6] = 0.031250
Fr[0][7] = 0.035156 ,Fi[0][7] = 0.035156
Fr[0][8] = 0.039063 ,Fi[0][8] = 0.039063
Fr[0][9] = 0.042969 ,Fi[0][9] = 0.042969
Fr[0][10] = 0.046875 ,Fi[0][10] = 0.046875
Fr[0][11] = 0.050781 ,Fi[0][11] = 0.050781
Fr[0][12] = 0.054688 ,Fi[0][12] = 0.054688
Fr[0][13] = 0.058594 ,Fi[0][13] = 0.058594
Fr[0][14] = 0.062500 ,Fi[0][14] = 0.062500
Fr[0][15] = 0.066406 ,Fi[0][15] = 0.066406
Fr[0][16] = 0.070313 ,Fi[0][16] = 0.070313
Fr[0][17] = 0.074219 ,Fi[0][17] = 0.074219
Fr[0][18] = 0.078125 ,Fi[0][18] = 0.078125
Fr[0][19] = 0.082031 ,Fi[0][19] = 0.082031
Fr[0][20] = 0.085938 ,Fi[0][20] = 0.085938
Fr[0][21] = 0.089844 ,Fi[0][21] = 0.089844
Fr[0][22] = 0.093750 ,Fi[0][22] = 0.093750
Fr[0][23] = 0.097656 ,Fi[0][23] = 0.097656
Fr[0][24] = 0.101563 ,Fi[0][24] = 0.101563
Fr[0][25] = 0.105469 ,Fi[0][25] = 0.105469
Fr[0][26] = 0.109375 ,Fi[0][26] = 0.109375
Fr[0][27] = 0.113281 ,Fi[0][27] = 0.113281
Fr[0][28] = 0.117188 ,Fi[0][28] = 0.117188
Fr[0][29] = 0.121094 ,Fi[0][29] = 0.121094
Fr[0][30] = 0.125000 ,Fi[0][30] = 0.125000
Fr[0][31] = 0.128906 ,Fi[0][31] = 0.128906
Fr[1][0] = 0.011719 ,Fi[1][0] = 0.011719
Fr[1][1] = 0.015625 ,Fi[1][1] = 0.015625
Fr[1][2] = 0.019531 ,Fi[1][2] = 0.019531
Fr[1][3] = 0.023438 ,Fi[1][3] = 0.023438
Fr[1][4] = 0.027344 ,Fi[1][4] = 0.027344
Fr[1][5] = 0.031250 ,Fi[1][5] = 0.031250
Fr[1][6] = 0.035156 ,Fi[1][6] = 0.035156
Fr[1][7] = 0.039063 ,Fi[1][7] = 0.039063
Fr[1][8] = 0.042969 ,Fi[1][8] = 0.042969
Fr[1][9] = 0.046875 ,Fi[1][9] = 0.046875
Fr[1][10] = 0.050781 ,Fi[1][10] = 0.050781
Fr[1][11] = 0.054688 ,Fi[1][11] = 0.054688
Fr[1][12] = 0.058594 ,Fi[1][12] = 0.058594
Fr[1][13] = 0.062500 ,Fi[1][13] = 0.062500
Fr[1][14] = 0.066406 ,Fi[1][14] = 0.066406
Fr[1][15] = 0.070313 ,Fi[1][15] = 0.070313
Fr[1][16] = 0.074219 ,Fi[1][16] = 0.074219
Fr[1][17] = 0.078125 ,Fi[1][17] = 0.078125
Fr[1][18] = 0.082031 ,Fi[1][18] = 0.082031
Fr[1][19] = 0.085938 ,Fi[1][19] = 0.085938
Fr[1][20] = 0.089844 ,Fi[1][20] = 0.089844
Fr[1][21] = 0.093750 ,Fi[1][21] = 0.093750
Fr[1][22] = 0.097656 ,Fi[1][22] = 0.097656
Fr[1][23] = 0.101563 ,Fi[1][23] = 0.101563
Fr[1][24] = 0.105469 ,Fi[1][24] = 0.105469
Fr[1][25] = 0.109375 ,Fi[1][25] = 0.109375
Fr[1][26] = 0.113281 ,Fi[1][26] = 0.113281
Fr[1][27] = 0.117188 ,Fi[1][27] = 0.117188
Fr[1][28] = 0.121094 ,Fi[1][28] = 0.121094
Fr[1][29] = 0.125000 ,Fi[1][29] = 0.125000
Fr[1][30] = 0.128906 ,Fi[1][30] = 0.128906
Fr[1][31] = 0.132813 ,Fi[1][31] = 0.132813
Fr[2][0] = 0.015625 ,Fi[2][0] = 0.015625
Fr[2][1] = 0.019531 ,Fi[2][1] = 0.019531
Fr[2][2] = 0.023438 ,Fi[2][2] = 0.023438
Fr[2][3] = 0.027344 ,Fi[2][3] = 0.027344
Fr[2][4] = 0.031250 ,Fi[2][4] = 0.031250
Fr[2][5] = 0.035156 ,Fi[2][5] = 0.035156
Fr[2][6] = 0.039063 ,Fi[2][6] = 0.039063
Fr[2][7] = 0.042969 ,Fi[2][7] = 0.042969
Fr[2][8] = 0.046875 ,Fi[2][8] = 0.046875
Fr[2][9] = 0.050781 ,Fi[2][9] = 0.050781
Fr[2][10] = 0.054688 ,Fi[2][10] = 0.054688
Fr[2][11] = 0.058594 ,Fi[2][11] = 0.058594
Fr[2][12] = 0.062500 ,Fi[2][12] = 0.062500
Fr[2][13] = 0.066406 ,Fi[2][13] = 0.066406
Fr[2][14] = 0.070313 ,Fi[2][14] = 0.070313
Fr[2][15] = 0.074219 ,Fi[2][15] = 0.074219
Fr[2][16] = 0.078125 ,Fi[2][16] = 0.078125
Fr[2][17] = 0.082031 ,Fi[2][17] = 0.082031
Fr[2][18] = 0.085938 ,Fi[2][18] = 0.085938
Fr[2][19] = 0.089844 ,Fi[2][19] = 0.089844
Fr[2][20] = 0.093750 ,Fi[2][20] = 0.093750
Fr[2][21] = 0.097656 ,Fi[2][21] = 0.097656
Fr[2][22] = 0.101563 ,Fi[2][22] = 0.101563
Fr[2][23] = 0.105469 ,Fi[2][23] = 0.105469
Fr[2][24] = 0.109375 ,Fi[2][24] = 0.109375
Fr[2][25] = 0.113281 ,Fi[2][25] = 0.113281
Fr[2][26] = 0.117188 ,Fi[2][26] = 0.117188
Fr[2][27] = 0.121094 ,Fi[2][27] = 0.121094
Fr[2][28] = 0.125000 ,Fi[2][28] = 0.125000
Fr[2][29] = 0.128906 ,Fi[2][29] = 0.128906
Fr[2][30] = 0.132813 ,Fi[2][30] = 0.132813
Fr[2][31] = 0.136719 ,Fi[2][31] = 0.136719
Fr[3][0] = 0.019531 ,Fi[3][0] = 0.019531
Fr[3][1] = 0.023438 ,Fi[3][1] = 0.023438
Fr[3][2] = 0.027344 ,Fi[3][2] = 0.027344
Fr[3][3] = 0.031250 ,Fi[3][3] = 0.031250
Fr[3][4] = 0.035156 ,Fi[3][4] = 0.035156
Fr[3][5] = 0.039063 ,Fi[3][5] = 0.039063
Fr[3][6] = 0.042969 ,Fi[3][6] = 0.042969
Fr[3][7] = 0.046875 ,Fi[3][7] = 0.046875
Fr[3][8] = 0.050781 ,Fi[3][8] = 0.050781
Fr[3][9] = 0.054688 ,Fi[3][9] = 0.054688
Fr[3][10] = 0.058594 ,Fi[3][10] = 0.058594
Fr[3][11] = 0.062500 ,Fi[3][11] = 0.062500
Fr[3][12] = 0.066406 ,Fi[3][12] = 0.066406
Fr[3][13] = 0.070313 ,Fi[3][13] = 0.070313
Fr[3][14] = 0.074219 ,Fi[3][14] = 0.074219
Fr[3][15] = 0.078125 ,Fi[3][15] = 0.078125
Fr[3][16] = 0.082031 ,Fi[3][16] = 0.082031
Fr[3][17] = 0.085938 ,Fi[3][17] = 0.085938
Fr[3][18] = 0.089844 ,Fi[3][18] = 0.089844
Fr[3][19] = 0.093750 ,Fi[3][19] = 0.093750
Fr[3][20] = 0.097656 ,Fi[3][20] = 0.097656
Fr[3][21] = 0.101563 ,Fi[3][21] = 0.101563
Fr[3][22] = 0.105469 ,Fi[3][22] = 0.105469
Fr[3][23] = 0.109375 ,Fi[3][23] = 0.109375
Fr[3][24] = 0.113281 ,Fi[3][24] = 0.113281
Fr[3][25] = 0.117188 ,Fi[3][25] = 0.117188
Fr[3][26] = 0.121094 ,Fi[3][26] = 0.121094
Fr[3][27] = 0.125000 ,Fi[3][27] = 0.125000
Fr[3][28] = 0.128906 ,Fi[3][28] = 0.128906
Fr[3][29] = 0.132813 ,Fi[3][29] = 0.132813
Fr[3][30] = 0.136719 ,Fi[3][30] = 0.136719
Fr[3][31] = 0.140625 ,Fi[3][31] = 0.140625
Fr[4][0] = 0.023438 ,Fi[4][0] = 0.023438
Fr[4][1] = 0.027344 ,Fi[4][1] = 0.027344
Fr[4][2] = 0.031250 ,Fi[4][2] = 0.031250
Fr[4][3] = 0.035156 ,Fi[4][3] = 0.035156
Fr[4][4] = 0.039063 ,Fi[4][4] = 0.039063
Fr[4][5] = 0.042969 ,Fi[4][5] = 0.042969
Fr[4][6] = 0.046875 ,Fi[4][6] = 0.046875
Fr[4][7] = 0.050781 ,Fi[4][7] = 0.050781
Fr[4][8] = 0.054688 ,Fi[4][8] = 0.054688
Fr[4][9] = 0.058594 ,Fi[4][9] = 0.058594
Fr[4][10] = 0.062500 ,Fi[4][10] = 0.062500
Fr[4][11] = 0.066406 ,Fi[4][11] = 0.066406
Fr[4][12] = 0.070313 ,Fi[4][12] = 0.070313
Fr[4][13] = 0.074219 ,Fi[4][13] = 0.074219
Fr[4][14] = 0.078125 ,Fi[4][14] = 0.078125
Fr[4][15] = 0.082031 ,Fi[4][15] = 0.082031
Fr[4][16] = 0.085938 ,Fi[4][16] = 0.085938
Fr[4][17] = 0.089844 ,Fi[4][17] = 0.089844
Fr[4][18] = 0.093750 ,Fi[4][18] = 0.093750
Fr[4][19] = 0.097656 ,Fi[4][19] = 0.097656
Fr[4][20] = 0.101563 ,Fi[4][20] = 0.101563
Fr[4][21] = 0.105469 ,Fi[4][21] = 0.105469
Fr[4][22] = 0.109375 ,Fi[4][22] = 0.109375
Fr[4][23] = 0.113281 ,Fi[4][23] = 0.113281
Fr[4][24] = 0.117188 ,Fi[4][24] = 0.117188
Fr[4][25] = 0.121094 ,Fi[4][25] = 0.121094
Fr[4][26] = 0.125000 ,Fi[4][26] = 0.125000
Fr[4][27] = 0.128906 ,Fi[4][27] = 0.128906
Fr[4][28] = 0.132813 ,Fi[4][28] = 0.132813
Fr[4][29] = 0.136719 ,Fi[4][29] = 0.136719
Fr[4][30] = 0.140625 ,Fi[4][30] = 0.140625
Fr[4][31] = 0.144531 ,Fi[4][31] = 0.144531
Fr[5][0] = 0.027344 ,Fi[5][0] = 0.027344
Fr[5][1] = 0.031250 ,Fi[5][1] = 0.031250
Fr[5][2] = 0.035156 ,Fi[5][2] = 0.035156
Fr[5][3] = 0.039063 ,Fi[5][3] = 0.039063
Fr[5][4] = 0.042969 ,Fi[5][4] = 0.042969
Fr[5][5] = 0.046875 ,Fi[5][5] = 0.046875
Fr[5][6] = 0.050781 ,Fi[5][6] = 0.050781
Fr[5][7] = 0.054688 ,Fi[5][7] = 0.054688
Fr[5][8] = 0.058594 ,Fi[5][8] = 0.058594
Fr[5][9] = 0.062500 ,Fi[5][9] = 0.062500
Fr[5][10] = 0.066406 ,Fi[5][10] = 0.066406
Fr[5][11] = 0.070313 ,Fi[5][11] = 0.070313
Fr[5][12] = 0.074219 ,Fi[5][12] = 0.074219
Fr[5][13] = 0.078125 ,Fi[5][13] = 0.078125
Fr[5][14] = 0.082031 ,Fi[5][14] = 0.082031
Fr[5][15] = 0.085938 ,Fi[5][15] = 0.085938
Fr[5][16] = 0.089844 ,Fi[5][16] = 0.089844
Fr[5][17] = 0.093750 ,Fi[5][17] = 0.093750
Fr[5][18] = 0.097656 ,Fi[5][18] = 0.097656
Fr[5][19] = 0.101563 ,Fi[5][19] = 0.101563
Fr[5][20] = 0.105469 ,Fi[5][20] = 0.105469
Fr[5][21] = 0.109375 ,Fi[5][21] = 0.109375
Fr[5][22] = 0.113281 ,Fi[5][22] = 0.113281
Fr[5][23] = 0.117188 ,Fi[5][23] = 0.117188
Fr[5][24] = 0.121094 ,Fi[5][24] = 0.121094
Fr[5][25] = 0.125000 ,Fi[5][25] = 0.125000
Fr[5][26] = 0.128906 ,Fi[5][26] = 0.128906
Fr[5][27] = 0.132813 ,Fi[5][27] = 0.132813
